"","iyear","times","Collected Institution"
"1",1970,651,"PGIS"
"2",1971,470,"PGIS"
"3",1972,494,"PGIS"
"4",1973,473,"PGIS"
"5",1974,580,"PGIS"
"6",1975,740,"PGIS"
"7",1976,923,"PGIS"
"8",1977,1319,"PGIS"
"9",1978,1526,"PGIS"
"10",1979,2661,"PGIS"
"11",1980,2663,"PGIS"
"12",1981,2585,"PGIS"
"13",1982,2545,"PGIS"
"14",1983,2870,"PGIS"
"15",1984,3494,"PGIS"
"16",1985,2915,"PGIS"
"17",1986,2860,"PGIS"
"18",1987,3184,"PGIS"
"19",1988,3721,"PGIS"
"20",1989,4322,"PGIS"
"21",1990,3887,"PGIS"
"22",1991,4683,"PGIS"
"23",1992,5073,"PGIS"
"24",1994,3458,"PGIS"
"25",1995,3081,"PGIS"
"26",1996,3056,"PGIS"
"27",1997,3200,"PGIS"
"28",1998,933,"CETIS"
"29",1999,1396,"CETIS"
"30",2000,1813,"CETIS"
"31",2001,1908,"CETIS"
"32",2002,1332,"CETIS"
"33",2003,1262,"CETIS"
"34",2004,1161,"CETIS"
"35",2005,2011,"CETIS"
"36",2006,2751,"CETIS"
"37",2007,3241,"CETIS"
"38",2008,4787,"CETIS"
"39",2009,4721,"ISVG"
"40",2010,4821,"ISVG"
"41",2011,5067,"ISVG"
"42",2012,8498,"START"
"43",2013,11990,"START"
"44",2014,16840,"START"
"45",2015,14806,"START"
