"","country_txt","Attacked Times"
"1","Afghanistan",9690
"2","Albania",77
"3","Algeria",2720
"4","Andorra",1
"5","Angola",491
"6","Antigua and Barbuda",1
"7","Argentina",804
"8","Armenia",22
"9","Australia",88
"10","Austria",106
"11","Azerbaijan",45
"12","Bahamas",5
"13","Bahrain",182
"14","Bangladesh",1513
"15","Barbados",3
"16","Belarus",13
"17","Belgium",142
"18","Belize",8
"19","Benin",8
"20","Bhutan",6
"21","Bolivia",314
"22","Bosnia-Herzegovina",159
"23","Botswana",10
"24","Brazil",267
"25","Brunei",1
"26","Bulgaria",51
"27","Burkina Faso",9
"28","Burundi",504
"29","Cambodia",258
"30","Cameroon",180
"31","Canada",76
"32","Central African Republic",202
"33","Chad",80
"34","Chile",2334
"35","China",242
"36","Colombia",8077
"37","Comoros",5
"38","Costa Rica",67
"39","Croatia",57
"40","Cuba",30
"41","Cyprus",130
"42","Czechoslovakia",10
"43","Czech Republic",27
"44","Democratic Republic of the Congo",459
"45","Denmark",40
"46","Djibouti",21
"47","Dominica",3
"48","Dominican Republic",89
"49","East Germany (GDR)",38
"50","East Timor",10
"51","Ecuador",215
"52","Egypt",1799
"53","El Salvador",5320
"54","Equatorial Guinea",2
"55","Eritrea",10
"56","Estonia",16
"57","Ethiopia",150
"58","Falkland Islands",1
"59","Fiji",17
"60","Finland",15
"61","France",2617
"62","French Guiana",7
"63","French Polynesia",3
"64","Gabon",4
"65","Gambia",3
"66","Georgia",212
"67","Germany",649
"68","Ghana",18
"69","Gibraltar",1
"70","Greece",1200
"71","Grenada",5
"72","Guadeloupe",56
"73","Guatemala",2050
"74","Guinea",24
"75","Guinea-Bissau",9
"76","Guyana",25
"77","Haiti",212
"78","Honduras",321
"79","Hong Kong",26
"80","Hungary",45
"81","Iceland",4
"82","India",9940
"83","Indonesia",714
"84","International",1
"85","Iran",667
"86","Iraq",18770
"87","Ireland",274
"88","Israel",2085
"89","Italy",1545
"90","Ivory Coast",60
"91","Jamaica",34
"92","Japan",400
"93","Jordan",92
"94","Kazakhstan",24
"95","Kenya",517
"96","Kosovo",180
"97","Kuwait",74
"98","Kyrgyzstan",28
"99","Laos",22
"100","Latvia",16
"101","Lebanon",2413
"102","Lesotho",29
"103","Liberia",33
"104","Libya",1643
"105","Lithuania",8
"106","Luxembourg",16
"107","Macau",33
"108","Macedonia",117
"109","Madagascar",26
"110","Malawi",4
"111","Malaysia",76
"112","Maldives",17
"113","Mali",319
"114","Malta",20
"115","Martinique",12
"116","Mauritania",18
"117","Mauritius",2
"118","Mexico",499
"119","Moldova",20
"120","Montenegro",5
"121","Morocco",36
"122","Mozambique",272
"123","Myanmar",347
"124","Namibia",151
"125","Nepal",923
"126","Netherlands",121
"127","New Caledonia",31
"128","New Hebrides",1
"129","New Zealand",18
"130","Nicaragua",1970
"131","Niger",116
"132","Nigeria",2888
"133","North Korea",1
"134","North Yemen",6
"135","Norway",18
"136","Pakistan",12768
"137","Panama",126
"138","Papua New Guinea",81
"139","Paraguay",89
"140","People's Republic of the Congo",3
"141","Peru",6085
"142","Philippines",5576
"143","Poland",34
"144","Portugal",139
"145","Qatar",7
"146","Republic of the Congo",21
"147","Rhodesia",83
"148","Romania",6
"149","Russia",2104
"150","Rwanda",156
"151","Saudi Arabia",193
"152","Senegal",118
"153","Serbia",11
"154","Serbia-Montenegro",11
"155","Seychelles",2
"156","Sierra Leone",97
"157","Singapore",7
"158","Slovak Republic",17
"159","Slovenia",6
"160","Solomon Islands",4
"161","Somalia",2890
"162","South Africa",1957
"163","South Korea",37
"164","South Sudan",111
"165","South Vietnam",1
"166","South Yemen",2
"167","Soviet Union",78
"168","Spain",3239
"169","Sri Lanka",2982
"170","St. Kitts and Nevis",2
"171","St. Lucia",1
"172","Sudan",688
"173","Suriname",66
"174","Swaziland",16
"175","Sweden",102
"176","Switzerland",107
"177","Syria",1468
"178","Taiwan",47
"179","Tajikistan",184
"180","Tanzania",50
"181","Thailand",3338
"182","Togo",48
"183","Trinidad and Tobago",22
"184","Tunisia",92
"185","Turkey",3557
"186","Turkmenistan",2
"187","Uganda",366
"188","Ukraine",1583
"189","United Arab Emirates",22
"190","United Kingdom",4992
"191","United States",2693
"192","Uruguay",75
"193","Uzbekistan",21
"194","Vanuatu",2
"195","Vatican City",1
"196","Venezuela",269
"197","Vietnam",10
"198","Wallis and Futuna",1
"199","West Bank and Gaza Strip",1990
"200","Western Sahara",5
"201","West Germany (FRG)",541
"202","Yemen",2598
"203","Yugoslavia",203
"204","Zaire",48
"205","Zambia",60
"206","Zimbabwe",98
