"","gname","times"
"1","14 K Triad",4
"2","14 March Coalition",1
"3","14th of December Command",3
"4","15th of September Liberation Legion",1
"5","16 January Organization for the Liberation of Tripoli",24
"6","1920 Revolution Brigades",2
"7","19th of July Christian Resistance Brigade",1
"8","1 May",10
"9","1st of May Group",4
"10","20 December Movement (M-20)",16
"11","22 May 1948",1
"12","23 May Democratic Alliance (Algeria)",3
"13","23rd of September Communist League",44
"14","28 February Armed Group",1
"15","28 May Armenian Organization",2
"16","28s",1
"17","28th of December Group",2
"18","2 April Group",6
"19","2nd of June Movement",14
"20","313 Brigade (Syria)",3
"21","31 January People's Front (FP-31)",17
"22","4 August National Organization",2
"23","7 April Libyan Organization",3
"24","9 February",21
"25","9 May People's Liberation Force",4
"26","Aba Cheali Group",1
"27","Abd al-Krim Commandos",2
"28","Abdul Ghani Kikli Militia",1
"29","Abdullah Azzam Brigades",25
"30","Abdul Qader Husseini Battalions of the Free Palestine movement",1
"31","Abida Tribe",3
"32","Abkhazian guerrillas",2
"33","Abkhazian Separatists",5
"34","Abstentionist Brigades",2
"35","Abu Bakr Unis Jabr Brigade",1
"36","Abu Hafs al-Masri Brigades",11
"37","Abu Hassan",1
"38","Abu Jaafar al-Mansur Brigades",1
"39","Abu Musa Group",1
"40","Abu Nidal Organization (ANO)",51
"41","Abu Obaida bin Jarrah Brigade",5
"42","Abu Salim Martyr's Brigade",1
"43","Abu Sayyaf Group (ASG)",402
"44","Abu Tira (Central Reserve Forces)",1
"45","Aceh Singkil Islamic Care Youth Students Association (PPI)",3
"46","A'chik Matgrik Elite Force (AMEF)",5
"47","Achik National Cooperative Army (ANCA)",4
"48","Achik National Liberation Army (ANLA)",3
"49","Achik National Volunteer Council (ANVC)",1
"50","Achik National Volunteer Council-B (ANVC-B)",9
"51","Achik Songna An'pachakgipa Kotok (ASAK)",9
"52","Achik Tiger Force",1
"53","Achwan-I-Mushbani",1
"54","Actiefront Nationalistisch Nederland",2
"55","Action Directe",55
"56","Action Front for the Liberation of the Baltic Countries",2
"57","Action Front Nationalist Librium",1
"58","Action Group for Communism",1
"59","Action Group for the Destruction of the Police State",1
"60","Action Squad",1
"61","Action Struggle Against the World",1
"62","Active Espirit de Corps of the Argentina Army",1
"63","Activists",17
"64","Adan Abyan Islamic Army (AAIA)",2
"65","Adan-Abyan Province of the Islamic State",11
"66","Adivasi Cobra Militants of Assam (ACMA)",1
"67","Adivasi National Liberation Army (ANLA)",6
"68","Adivasi People's Army (APA)",3
"69","Afar rebels",1
"70","Afar Revolutionary Democratic Unity Front",2
"71","AFB",1
"72","Afghan Guerrillas",8
"73","Afghan Merceneries",1
"74","Afghan Mujahideen",7
"75","Afghan Rebels",3
"76","Afghan Revolutionary Front",1
"77","Afghans",4
"78","Afghan War Veterans",1
"79","Africa Marine Commando",5
"80","African National Congress (South Africa)",606
"81","Afridi Tribe",1
"82","Afrikaner Resistance Movement (AWB)",5
"83","AGEL",1
"84","Aghwar ""Fire War"" Group",1
"85","Agudat Israel Party",1
"86","Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)",2
"87","Ahlu-sunah Wal-jamea (Somalia)",9
"88","Ahmad Alawi al Muqbili",1
"89","Ahmad Jibril",1
"90","Ahrar Al-Jalil (Free People of the Galilee)",4
"91","Ahrar al-Sham",13
"92","Aibed Er-Rahman katibet",1
"93","Aidid Militia",1
"94","Air and Azawak Liberation Front",3
"95","Airport Protesters",2
"96","Aisha Umm-al Mouemeneen (Brigades of Aisha)",1
"97","Aitarak Militia",1
"98","Ajnad Misr",32
"99","Akali Dal Party",2
"100","Akhilesh Singh Gang",1
"101","Akhil Terai Mukti Morcha (ATMM)",13
