"","motive","times"
"1","",110180
"2","A Baloch Liberation Army (BLA) spokesperson claimed that the attacks were in response to the killings of Nawab Akbar Bugti's granddaughter and great-granddaughter.",4
"3","A Baloch Liberation Front (BLF) spokesperson claimed responsibility for the attack and asserted that they had previously warned the construction company against investing in Balochistan because the province was in a state of war and the roads being built were intended for military transportation. Furthermore, he warned that similar attacks would be carried out against private companies who engaged in construction work or oil and gas exploration projects in Balochistan.",1
"4","A Baloch Liberation Tigers (BLT) spokesperson, Meeran Baloch, claimed responsibility for the attack and stated that the identity cards of the victims were checked before they were killed in order to target only ethnic Punjabs.",1
"5","A Baloch Mussalah Diffah Tanzim spokesman, Mir Jang Baloch, calling from an unspecified location, said that his organization had carried out the attack and vowed to continue such attacks in the future against those who are involved in targeted killings and torching government offices. He threatened the Baloch people against participating in the activities of the Baloch Student Organization, Baloch Republican Party, Balochistan National Party and Baloch National Movement, otherwise they would meet the same fate.",1
"6","A banner attached to the explosive device urged ETA members to kill police officers.",1
"7","Abdiaziz Abu Musab, an Al-Shabaab spokesperson, claimed responsibility for the attack and stated that it would continue to target legislators who support President Hassan Sheikh Mohamud.",1
"8","Abdiaziz Abu Musab, an Al-Shabaab spokesperson, claimed responsibly for the attack and stated that the bombing was part of a campaign to target Western backed government officials and intended to demonstrate that they group can strike anywhere in Mogadishu.",1
"9","Abductors suspected US ties of Iraqi athletes",1
"10","Abductors suspected victims of spying for US",2
"11","Abdulaziz Abu Musab, an Al-Shabaab spokesperson, claimed responsibility for the attack and stated that victim was targeted because of his crimes against Muslims.",1
"12","Abdulaziz Abu Musab, spokesperson for Al-Shabaab, claimed responsibility for the incident, charging the targeted security officials with ""corruption and extortion"".",1
"13","Abdul Haq, a spokesperson for Al-Shabaab, claimed responsibility for the incident and stated that the victims were executed because they were spies for both the French and Somali governments.",1
"14","Abdullah Azzam Brigades claimed responsibility and asserted that the attack was in revenge for a drone strike that killed  Al-Qa'ida leader Badr Munir on February 9, 2012.",1
"15","Abdullah Azzam Brigades claimed responsibility for the incident and stated that the attack was carried out in retaliation for events taking place at Al-Aqsa mosque.",1
"16","Abdullah Azzam Brigades claimed responsibility for the incident and stated that the attack was carried out in retaliation to Hizballah and Iran's involvement in the Syrian conflict and demanded that the group's members be released from Lebanese prisons.",2
"17","Abdul Latif Hakimi claimed the attack on behalf of the Taliban insurgents and said it was carried out because Zarif was a government-backed figure.",1
"18","Abdul Latif Hakimi, who claims being the spokesman of the Taliban, said that they murdered the Islamic cleric for he was a pro-government candidate.",1
"19","Abdul Qader Husseini Battalions of the Free Palestine movement claimed responsibility for the incident in an online statement and said that the attack was done to mark Nakba Day, the date on which Israel achieved statehood in 1948.",1
"20","Abdul Qaqa, a Boko Haram spokesperson, claimed responsibility for the attack on Lamisla Primary School, stating that it was in response to attacks against Islamic schools by members of security forces.",1
"21","Abid Hussain was abducted and attacked for accusedly being an informer for the security forces.",1
"22","A BLA spokesman, Jiaind Baloch, calling journalists from unidentified location, said: ""BLA conducted the attack in response to killing of missing people in government custody.""",1
"23","A Boko Haram spokesman claimed responsibility for the attack, saying the students were targeted for assisting the army.",1
"24","A Boko Haram spokesperson, in claiming the attack, stated, ""We want to prove to the federal government of Nigeria that we can always change our tactics.""",3
"25","A brief statement said the blast was an attempt to assassinate a senior IRA commander from South Antrim who drank in the bar.",1
"26","Abu-Abdalla, a spokesperson for Al-Shabaab, claimed responsibility and stated that the three individuals were executed because they were spies that worked for the Somali government.",1
"27","Abu Abeer, a spokesperson for an armed wing of the Popular Resistance Committee stated, ""The attacks are to reiterate what the group had declared a few days ago: the group is not committed to the Cairo agreement of ceasefire with Israel reached among the thirteen Palestinian factions.""",1
"28","Abu al-Noor, a spokesperson for the Free Syrian Army, claimed responsibility for the attack and stated that the attack targeted the central security command headquartered in the hotel in response to murders perpetrated by security forces throughout Syria.",1
"29","Abu al-Noor, spokesperson for the Ahfad Al Rasoul Brigade, a wing of the Free Syrian Army (FSA), claimed responsibility for the attack, stating that they were retaliating for the ""murders perpetrated by the security forces nationwide.""",1
"30","Abu Bakar Sadiq Jhangvi, a spokesperson for Lashkar-e-Jhangvi, claimed responsibility for the killing of the counterterrorism police officer, stating that the officer was targeted because he had killed members of the group.",2
"31","Abubakar Shekau, a Boko Haram spokesperson, claimed responsibility for the attack and stated that the women and children were kidnapped in retaliation for the detention of wives and children of Boko Haram members by the Nigerian military.",1
"32","Abubakar Shekau, the leader of Boko Haram, claimed responsibility for the blast, stating that the attack was in retaliation for Nigeria's cooperation with the United States in killing Muslims.",1
"33","Abu bakar Siddiq, a spokesperson for Lashkar-e-Jhangvi, claimed responsibility for the attack and stated that it was carried out in retaliation for the bombing of a Tablighi Jamaat center and a madrassa in Quetta.",1
"34","Abubakar Siddiq, spokesperson for Lashkar-e-Jhangvi, claimed responsibility for the incident, stating that they were targeting the Shiite Muslim community and avenging the death of Matiullah Samiullah.",1
"35","Abu Bakr al-Baghdadi, the leader of Al-Qa`ida in Iraq, claimed responsibility in a released audio recording, stating that the violence was part of a larger campaign, known as ""breaking the walls,"" aimed at freeing Muslim prisoners, targeting judges and prosecutors, and recapturing territory once held by the group.",14
"36","Abu Bakr al-Baghdadi, the leader of Al-Qa`ida in Iraq, claimed responsibility in a released audio recording, stating that the violence was part of a larger campaign, known as ""breaking the walls"" aimed at freeing Muslim prisoners, targeting judges and prosecutors, and recapturing territory once held by the group.",27
"37","Abu Baseer, spokesperson for Mujahideen Ansar, claimed responsibility for the incident, stating that the attack was in retaliation for a drone strike, which killed four members of the Turkistan Islamic Party the previous day.",1
